|████████████████████████████████████████| 1000/1000 [100%] in 5.5s (183.36/s) 
         4889224 function calls (4849928 primitive calls) in 6.827 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20415    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      504    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1320    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      440    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    440/6    0.002    0.000    1.402    0.234 <frozen importlib._bootstrap_external>:877(exec_module)
      440    0.006    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       64    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      568    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
     3209    0.004    0.000    0.004    0.000 <string>:2(__eq__)
     1000    0.002    0.000    0.002    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       71    0.003    0.000    4.088    0.058 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        3    0.000    0.000    0.026    0.009 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:128(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:14(_create)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:16(IntCastingNaNError)
        3    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:169(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
       22    0.000    0.000    0.002    0.000 __init__.py:172(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:176(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:177(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:182(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AbstractMethodError)
     1000    0.009    0.000    0.081    0.000 __init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        3    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:205(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:211(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        2    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        2    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:232(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:240(DataError)
        1    0.000    0.000    0.000    0.000 __init__.py:241(set_testing_mode)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(SpecificationError)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:277(SettingWithCopyError)
        1    0.000    0.000    0.000    0.000 __init__.py:299(SettingWithCopyWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:299(_sanity_check)
     1003    0.005    0.000    0.030    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:31(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:321(NumExprClobberingError)
       18    0.002    0.000    0.004    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.006    0.006 __init__.py:332(Version)
        8    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:340(UndefinedVariableError)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
       28    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:366(IndexingError)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        3    0.000    0.000    0.000    0.000 __init__.py:369(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:37(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyperclipException)
        1    0.000    0.000    0.000    0.000 __init__.py:395(PyperclipWindowsException)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
      117    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:409(CSSWarning)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
       14    0.000    0.000    0.004    0.000 __init__.py:413(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:415(dev)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:428(PossibleDataLossError)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(ClosedFileError)
        1    0.000    0.000    0.002    0.002 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:45(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:453(IncompatibilityWarning)
        6    0.000    0.000    0.001    0.000 __init__.py:458(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:459(AttributeConflictWarning)
       24    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:469(DatabaseError)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:482(PossiblePrecisionLoss)
        1    0.000    0.000    0.000    0.000 __init__.py:497(ValueLabelTypeMismatch)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
